row_num,user_id,subject,chapter,course_completion_percentage,lesson,chapter_completion_percentage,score,datetime
0,1000,en,en00,0.016129032258064516,ambulance,0.5,87,2020-12-01 11:01:21
1,1000,en,en00,0.03225806451612903,anchor,1.0,85,2020-12-01 11:43:56
2,1000,en,en01,0.04838709677419355,auto,0.5,90,2020-12-01 17:01:05
3,1000,en,en01,0.06451612903225806,pram,1.0,78,2020-12-02 06:38:38
4,1000,en,en02,0.08064516129032258,bag,0.5,77,2020-12-02 06:57:37
5,1000,en,en02,0.0967741935483871,ball,1.0,98,2020-12-02 16:13:26
6,1000,en,en03,0.11290322580645161,balloon,0.5,78,2020-12-03 02:16:47
7,1000,en,en03,0.12903225806451613,bell,1.0,82,2020-12-03 05:31:23
8,1000,en,en04,0.13978494623655913,balloon1,0.3333333333333333,71,2020-12-03 13:27:09
9,1000,en,en04,0.15053763440860213,balloon2,0.6666666666666666,78,2020-12-04 06:48:35
10,1000,en,en04,0.16129032258064513,balloon3,1.0,82,2020-12-05 04:56:05
11,1000,en,en06,0.17741935483870963,balloon4,0.5,71,2020-12-06 12:55:12
12,1000,en,en06,0.19354838709677413,balloon5,1.0,99,2020-12-06 16:19:32
13,1000,en,en05,0.22580645161290316,balloon6,1.0,75,2020-12-07 05:04:02
14,1000,en,en07,0.2419354838709677,balloon7,0.5,92,2020-12-07 09:40:15
15,1000,en,en07,0.2580645161290322,balloon8,1.0,98,2020-12-07 11:10:30
16,1000,en,en08,0.2741935483870967,balloon9,0.5,76,2020-12-07 15:13:19
17,1000,en,en08,0.2903225806451612,balloon10,1.0,90,2020-12-07 19:27:58
18,1000,en,en09,0.3010752688172042,balloon11,0.3333333333333333,99,2020-12-07 21:42:12
19,1000,en,en09,0.3118279569892472,balloon12,0.6666666666666666,88,2020-12-08 18:57:55
20,1000,en,en09,0.3225806451612902,balloon13,1.0,97,2020-12-09 15:14:33
21,1000,en,en10,0.33064516129032245,balloon14,0.25,80,2020-12-10 18:42:34
22,1000,en,en10,0.3387096774193547,balloon15,0.5,81,2020-12-12 11:30:18
23,1000,en,en10,0.34677419354838696,balloon16,0.75,84,2020-12-12 12:56:57
24,1000,en,en10,0.3548387096774192,balloon17,1.0,98,2020-12-13 08:26:48
25,1000,en,en12,0.38709677419354827,balloon18,1.0,98,2020-12-14 02:40:44
26,1000,en,en13,0.40322580645161277,balloon19,0.5,79,2020-12-14 18:08:48
27,1000,en,en13,0.41935483870967727,balloon20,1.0,93,2020-12-14 18:47:52
28,1000,en,en14,0.43548387096774177,balloon21,0.5,83,2020-12-16 13:32:43
29,1000,en,en14,0.4516129032258063,balloon22,1.0,92,2020-12-17 15:42:26
30,1000,en,en15,0.4677419354838708,balloon23,0.5,77,2020-12-18 02:25:16
31,1000,en,en15,0.4838709677419353,balloon24,1.0,74,2020-12-18 04:25:50
32,1000,en,en16,0.4903225806451611,balloon25,0.2,75,2020-12-18 07:46:24
33,1000,en,en16,0.4967741935483869,balloon26,0.4,91,2020-12-19 03:35:33
34,1000,en,en16,0.5032258064516127,balloon27,0.6,71,2020-12-19 07:01:36
35,1000,en,en16,0.5096774193548386,balloon28,0.8,97,2020-12-19 13:38:54
36,1000,en,en16,0.5161290322580644,balloon29,1.0,77,2020-12-20 12:16:11
37,1000,en,en17,0.5225806451612902,balloon30,0.2,93,2020-12-20 13:15:44
38,1000,en,en17,0.529032258064516,balloon31,0.4,74,2020-12-20 15:39:18
39,1000,en,en17,0.5354838709677419,balloon32,0.6,81,2020-12-21 03:52:00
40,1000,en,en17,0.5419354838709677,balloon33,0.8,82,2020-12-21 04:19:39
41,1000,en,en17,0.5483870967741935,balloon34,1.0,93,2020-12-21 13:26:39
42,1000,en,en19,0.5564516129032258,balloon35,0.25,76,2020-12-22 04:26:29
43,1000,en,en19,0.564516129032258,balloon36,0.5,94,2020-12-23 11:56:53
44,1000,en,en19,0.5725806451612903,balloon37,0.75,73,2020-12-24 09:26:03
45,1000,en,en19,0.5806451612903225,balloon38,1.0,99,2020-12-25 03:49:42
46,1000,en,en20,0.596774193548387,balloon39,0.5,85,2020-12-25 04:00:29
47,1000,en,en20,0.6129032258064515,balloon40,1.0,75,2020-12-25 11:28:24
48,1000,en,en21,0.6451612903225805,balloon41,1.0,74,2020-12-27 11:10:56
49,1000,en,en22,0.6774193548387095,balloon42,1.0,78,2020-12-28 09:40:46
50,1000,en,en23,0.693548387096774,balloon43,0.5,72,2020-12-29 00:04:55
51,1000,en,en23,0.7096774193548385,balloon44,1.0,85,2020-12-29 10:43:02
0,1000,maths,maths00,0.015625,challenge1,0.5,86,2020-12-01 09:39:12
1,1000,maths,maths00,0.03125,challenge5,1.0,99,2020-12-02 17:43:35
2,1000,maths,maths01,0.0625,challenge6,1.0,87,2020-12-02 22:54:15
3,1000,maths,maths02,0.078125,challenge7,0.5,76,2020-12-03 22:17:26
4,1000,maths,maths02,0.09375,challenge8,1.0,73,2020-12-03 23:38:02
5,1000,maths,maths03,0.10416666666666667,challenge9,0.3333333333333333,98,2020-12-05 11:01:03
6,1000,maths,maths03,0.11458333333333334,challenge10,0.6666666666666666,86,2020-12-05 12:22:50
7,1000,maths,maths03,0.125,challenge11,1.0,71,2020-12-06 11:29:50
8,1000,maths,maths04,0.15625,challenge12,1.0,83,2020-12-06 23:11:21
9,1000,maths,maths05,0.16666666666666666,challenge13,0.3333333333333333,84,2020-12-08 12:24:39
10,1000,maths,maths05,0.17708333333333331,challenge14,0.6666666666666666,96,2020-12-08 14:29:01
11,1000,maths,maths05,0.18749999999999997,challenge15,1.0,98,2020-12-10 03:03:12
12,1000,maths,maths06,0.20312499999999997,challenge16,0.5,72,2020-12-10 09:43:10
13,1000,maths,maths06,0.21874999999999997,challenge17,1.0,97,2020-12-11 01:44:54
14,1000,maths,maths07,0.22656249999999997,challenge18,0.25,97,2020-12-11 07:00:06
15,1000,maths,maths07,0.23437499999999997,challenge19,0.5,70,2020-12-11 11:41:54
16,1000,maths,maths07,0.24218749999999997,challenge20,0.75,81,2020-12-12 00:01:29
17,1000,maths,maths07,0.24999999999999997,challenge21,1.0,95,2020-12-12 03:53:11
18,1000,maths,maths08,0.265625,challenge22,0.5,70,2020-12-12 06:57:55
19,1000,maths,maths08,0.28125,challenge23,1.0,81,2020-12-12 19:04:34
